unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-22 02:03:00,0.4452,22.86,22.34,24.08,11.386,11.27,11.286,23.093333333333334,4.272517321016157,11.314,0.6363797065582392,0.511293086077052,0.8594064115014527,2.0,3.0,0.0,0.0
EP_FD03,2026-06-22 02:06:00,0.3478,14.84,14.46,15.18,11.272,11.344,11.332,14.826666666666668,2.473021582733816,11.316,0.38882997525627855,0.5224985647159488,0.8526401643540922,2.0,6.0,0.0,0.0
EP_FD03,2026-06-22 02:09:00,0.4703,14.99,13.93,14.79,11.446,11.318,11.3,14.57,4.392587508579276,11.354666666666667,0.8043682480037551,0.5336145159156115,0.8457278217039733,2.0,9.0,0.0,0.0
EP_FD03,2026-06-22 02:12:00,0.4459,19.9,18.99,19.83,11.268,11.306,11.274,19.573333333333334,2.9802452316076415,11.282666666666666,0.2068069014417404,0.5446390350150271,0.838670567945424,2.0,12.0,0.0,0.0
EP_FD03,2026-06-22 02:15:00,0.3693,20.52,18.66,19.77,11.344,11.241,11.354,19.650000000000002,5.038167938931307,11.313,0.636435958631671,0.5555702330196022,0.8314696123025452,2.0,15.0,0.0,0.0
EP_FD03,2026-06-22 02:18:00,0.3905,22.92,22.48,23.99,11.287,11.346,11.317,23.13,3.7181150021616927,11.316666666666668,0.2621502209131139,0.5664062369248328,0.8241261886220157,2.0,18.0,0.0,0.0
EP_FD03,2026-06-22 02:21:00,0.353,21.48,20.63,19.93,11.298,11.245,11.154,20.68,3.86847195357834,11.232333333333335,0.6973914591803565,0.5771451900372336,0.8166415551616789,2.0,21.0,0.0,0.0
EP_FD03,2026-06-22 02:24:00,0.2697,21.53,20.31,19.76,11.332,11.233,11.244,20.533333333333335,4.853896103896101,11.269666666666666,0.5531071608151815,0.5877852522924731,0.8090169943749475,2.0,24.0,0.0,0.0
EP_FD03,2026-06-22 02:27:00,0.3511,20.61,19.94,20.21,11.293,11.212,11.203,20.253333333333334,1.7610269914417325,11.235999999999999,0.5072979708081202,0.5983246005706591,0.8012538126910607,2.0,27.0,0.0,0.0
EP_FD03,2026-06-22 02:30:00,0.2647,20.78,19.6,20.45,11.367,11.181,11.274,20.276666666666667,3.337169159953966,11.274000000000001,0.8249068653539271,0.6087614290087207,0.7933533402912352,2.0,30.0,0.0,0.0
EP_FD03,2026-06-22 02:33:00,0.3978,22.54,19.99,23.8,11.278,11.284,11.181,22.11,9.588421528720042,11.247666666666667,0.592715526183222,0.619093949309834,0.785316930880745,2.0,33.0,0.0,0.0
EP_FD03,2026-06-22 02:36:00,0.335,19.28,18.95,20.67,11.295,11.206,11.245,19.633333333333336,5.280135823429534,11.248666666666665,0.41190066970901645,0.6293203910498375,0.7771459614569709,2.0,36.0,0.0,0.0
EP_FD03,2026-06-22 02:39:00,0.3305,19.64,19.07,20.52,11.312,11.179,11.26,19.743333333333336,3.933817322302872,11.250333333333332,0.6340552872507337,0.6394390019805847,0.7688418320734596,2.0,39.0,0.0,0.0
EP_FD03,2026-06-22 02:42:00,0.48,20.19,19.66,22.95,11.308,11.225,11.321,20.933333333333334,9.633757961783434,11.284666666666666,0.5287410645713956,0.6494480483301837,0.7604059656000309,2.0,42.0,0.0,0.0
EP_FD03,2026-06-22 02:45:00,0.3155,19.67,19.66,22.81,11.3,11.269,11.292,20.713333333333335,10.122304473768896,11.287,0.15947550279082734,0.6593458151000688,0.7518398074789774,2.0,45.0,0.0,0.0
EP_FD03,2026-06-22 02:48:00,0.436,22.18,21.29,24.15,11.44,11.354,11.272,22.540000000000003,7.142857142857125,11.355333333333332,0.7456114601068554,0.6691306063588581,0.7431448254773944,2.0,48.0,0.0,0.0
EP_FD03,2026-06-22 02:51:00,0.4742,24.86,24.47,26.15,11.422,11.314,11.357,25.159999999999997,3.9348171701112964,11.364333333333335,0.507435543953299,0.6788007455329417,0.7343225094356856,2.0,51.0,0.0,0.0
EP_FD03,2026-06-22 02:54:00,0.474,24.61,24.09,25.6,11.349,11.343,11.296,24.76666666666667,3.364737550471058,11.329333333333333,0.29422148993762404,0.6883545756937539,0.7253743710122876,2.0,54.0,0.0,0.0
EP_FD03,2026-06-22 02:57:00,0.3919,23.03,21.76,22.23,11.378,11.287,11.323,22.340000000000003,3.088630259623982,11.329333333333333,0.4295633753089402,0.6977904598416802,0.7163019434246543,2.0,57.0,0.0,0.0
EP_FD03,2026-06-22 03:00:00,0.4455,22.78,21.44,20.97,11.431,11.277,11.309,21.73,4.832029452369999,11.338999999999999,0.8113590263691731,0.7071067811865475,0.7071067811865476,3.0,0.0,0.0,0.0
EP_FD03,2026-06-22 03:03:00,0.2731,22.43,19.92,21.21,11.427,11.241,11.327,21.186666666666667,5.9786028949024494,11.331666666666665,0.8413001912045982,0.7163019434246543,0.6977904598416802,3.0,3.0,0.0,0.0
EP_FD03,2026-06-22 03:06:00,0.3458,21.39,21.82,24.19,11.382,11.308,11.299,22.46666666666667,7.670623145400589,11.329666666666666,0.46191414869516617,0.7253743710122876,0.688354575693754,3.0,6.0,0.0,0.0
